Running ./shock1d.py

Starting from step 0
Shock capturing parameters: alpha 0.1, s0 -11.0, kappa 0.5
Time step estimate 4.7576818033456516e-08

Viscous timestep estimate 8.662571755935413e-09

4482 elements
step.max=0 | t_sim.max=0 | t_step.max=21.6473 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=513.812
step.max=110 | t_sim.max=5.5e-06 | t_step.max=1.07092 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=695.312
step.max=111 | t_sim.max=5.55e-06 | t_step.max=1.07141 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=695.312
step.max=112 | t_sim.max=5.6e-06 | t_step.max=1.07109 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=695.312
step.max=113 | t_sim.max=5.65e-06 | t_step.max=1.07047 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=699.438
step.max=114 | t_sim.max=5.7e-06 | t_step.max=1.07045 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=699.438
step.max=115 | t_sim.max=5.75e-06 | t_step.max=1.07054 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=703.562
step.max=116 | t_sim.max=5.8e-06 | t_step.max=1.0709 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=703.562
step.max=117 | t_sim.max=5.85e-06 | t_step.max=1.07137 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=703.562
step.max=118 | t_sim.max=5.9e-06 | t_step.max=1.07104 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=707.688
step.max=119 | t_sim.max=5.95e-06 | t_step.max=1.06999 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=707.688
step.max=120 | t_sim.max=6e-06 | t_step.max=1.07077 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=707.688
step.max=121 | t_sim.max=6.05e-06 | t_step.max=1.07002 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=711.812
step.max=122 | t_sim.max=6.1e-06 | t_step.max=1.0702 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=711.812
step.max=123 | t_sim.max=6.15e-06 | t_step.max=1.0705 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=711.812
step.max=124 | t_sim.max=6.2e-06 | t_step.max=1.07051 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=715.938
step.max=125 | t_sim.max=6.25e-06 | t_step.max=1.07005 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.778 | memory_usage.max=715.938
step.max=126 | t_sim.max=6.3e-06 | t_step.max=1.07027 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.779 | memory_usage.max=720.062
step.max=127 | t_sim.max=6.35e-06 | t_step.max=1.07013 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.781 | memory_usage.max=720.062
step.max=128 | t_sim.max=6.4e-06 | t_step.max=1.0704 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.783 | memory_usage.max=720.062
step.max=129 | t_sim.max=6.45e-06 | t_step.max=1.06999 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.784 | memory_usage.max=724.188
step.max=130 | t_sim.max=6.5e-06 | t_step.max=1.06976 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.791 | memory_usage.max=724.188
step.max=131 | t_sim.max=6.55e-06 | t_step.max=1.06989 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.796 | memory_usage.max=724.188
step.max=132 | t_sim.max=6.6e-06 | t_step.max=1.07055 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.8 | memory_usage.max=728.312
step.max=133 | t_sim.max=6.65e-06 | t_step.max=1.07078 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.804 | memory_usage.max=728.312
step.max=134 | t_sim.max=6.7e-06 | t_step.max=1.07072 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.811 | memory_usage.max=732.438
step.max=135 | t_sim.max=6.75e-06 | t_step.max=1.07029 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.823 | memory_usage.max=732.438
step.max=136 | t_sim.max=6.8e-06 | t_step.max=1.06957 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.832 | memory_usage.max=732.438
step.max=137 | t_sim.max=6.85e-06 | t_step.max=1.06995 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.843 | memory_usage.max=736.562
step.max=138 | t_sim.max=6.9e-06 | t_step.max=1.06971 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.855 | memory_usage.max=736.562
step.max=139 | t_sim.max=6.95e-06 | t_step.max=1.07071 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.862 | memory_usage.max=736.562
step.max=140 | t_sim.max=7e-06 | t_step.max=1.06991 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=449.875 | memory_usage.max=740.688
step.max=141 | t_sim.max=7.05e-06 | t_step.max=1.07024 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=449.894 | memory_usage.max=740.688
step.max=142 | t_sim.max=7.1e-06 | t_step.max=1.06979 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=449.909 | memory_usage.max=740.688
step.max=143 | t_sim.max=7.15e-06 | t_step.max=1.06991 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=449.923 | memory_usage.max=744.812
step.max=144 | t_sim.max=7.2e-06 | t_step.max=1.07092 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=449.935 | memory_usage.max=744.812
step.max=145 | t_sim.max=7.25e-06 | t_step.max=1.07082 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=449.947 | memory_usage.max=748.938
step.max=146 | t_sim.max=7.3e-06 | t_step.max=1.0695 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=449.96 | memory_usage.max=748.938
step.max=147 | t_sim.max=7.35e-06 | t_step.max=1.0704 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.982 | memory_usage.max=748.938
step.max=148 | t_sim.max=7.4e-06 | t_step.max=1.07054 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.996 | memory_usage.max=753.062
step.max=149 | t_sim.max=7.45e-06 | t_step.max=1.07038 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=450.009 | memory_usage.max=753.062
step.max=150 | t_sim.max=7.5e-06 | t_step.max=1.07041 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=450.022 | memory_usage.max=753.062
step.max=151 | t_sim.max=7.55e-06 | t_step.max=1.06992 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=450.042 | memory_usage.max=757.188
